"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00205816","1898","46.35155","-85.51629","241.4","NEWBERRY LUCE CO ROAD COMMISSION, MI US","     78.1","","      78.1","6","","","","","","","","","","","        28","6","       209","6","        92","6","        94","6","         2","6","","","","","  -23.9","6,0205,+","","","","","","","   32.8","6,0717, ","-1.1","6,0818","-2.2","6,0819","-9.4","6,1027","-9.4","6,1027","-9.4","6,1027","-2.2","6,0711","-2.2","6,0711","-5.0","6,0426","-6.7","6,0420","-10.0","6,0408","","","","","","","","","      4.16","6","     10.65","6","     -2.33","6"
"USC00205816","1900","46.35155","-85.51629","241.4","NEWBERRY LUCE CO ROAD COMMISSION, MI US","     64.1","","      64.1","6","","","","","","","      149","","","","        34","6","       200","6","        94","6","       117","6","         4","6","","","","","  -31.7","6,0227, ","   660"," ,6,0323,+","","","","","   33.3","6,0808,+","0.0","6,0907","-6.7","6,1017","-6.7","6,1017","-6.7","6,1017","-9.4","6,1113","-1.1","6,0731","-3.9","6,0510","-6.7","6,0507","-6.7","6,0507","-9.4","6,0410","    4867.0","0","    4867.0","6","","","","","      3.88","6","     10.66","6","     -2.90","6"
"USC00205816","1902","46.35155","-85.51629","241.4","NEWBERRY LUCE CO ROAD COMMISSION, MI US","","","","","","","","","","","","","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205816","1906","46.35155","-85.51629","241.4","NEWBERRY LUCE CO ROAD COMMISSION, MI US","","","","","        93","6","        74","6","         5","6","      146","","        31","6","","","","","        86","6","        98","6","         9","6","","","","","","","   533"," ,6,0214,+","   152"," ,6,0203, ","  25.4"," ,6,0629,+","   36.7","6,0818, ","","","","","","","","","","","","","","","","","","","","","","","","","    563.1"," ,6","     1533"," ,6","","","     10.26","6","",""
"USC00205816","1911","46.35155","-85.51629","241.4","NEWBERRY LUCE CO ROAD COMMISSION, MI US","    108.6","","     108.6","0","","","","","","","","","","","         7","0","       171","0","        84","0","        90","0","         1","0","","","","","  -21.1","0,0104, ","","","","","","","   35.6","0,0702, ","0.0","0,0926","-2.8","0,0928","-4.4","0,1026","-7.2","0,1102","-10.0","0,1112","-2.8","0,0513","-2.8","0,0513","-5.6","0,0503","-7.2","0,0408","-14.4","0,0403","","","","","","","","","      5.44","0","     10.36","0","      0.52","0"
"USC00205816","1912","46.35155","-85.51629","241.4","NEWBERRY LUCE CO ROAD COMMISSION, MI US","     75.8","","      75.8","0","","","","","","","","","","","        43","0","       179","0","        97","0","        72","0","         1","0","","","","","  -32.2","0,0210, ","","","","","","","   33.3","0,0706, ","-0.6","0,0927","-2.8","0,1024","-6.1","0,1102","-7.2","0,1103","-10.6","0,1127","0.0","0,0529","-2.8","0,0429","-5.6","0,0428","-9.4","0,0408","-9.4","0,0408","    5414.1","1","    5414.1","0","","","","","      3.64","0","      8.77","0","     -1.48","0"
"USC00205816","1913","46.35155","-85.51629","241.4","NEWBERRY LUCE CO ROAD COMMISSION, MI US","    123.9","","     123.9","0","","","","","","","","","","","        24","0","       171","0","        84","0","        88","0","         1","0","","","","","  -25.6","0,0216,+","","","","","","","   32.2","0,0630, ","-1.7","0,0914","-2.2","0,1022","-4.4","0,1030","-6.7","0,1108","-9.4","0,1208","0.0","0,0526","-2.2","0,0514","-6.1","0,0420","-8.3","0,0407","-13.9","0,0328","    4987.3","3","    4987.3","0","","","","","      5.09","0","     10.17","0","      0.00","0"
"USC00205816","1914","46.35155","-85.51629","241.4","NEWBERRY LUCE CO ROAD COMMISSION, MI US","    123.1","","     123.1","0","","","","","","","","","","","        22","0","       180","0","       108","0","       109","0","         0","0","","","","","  -32.2","0,0212, ","","","","","","","   31.7","0,0526, ","-0.6","0,1013","-5.0","0,1026","-5.0","0,1026","-6.7","0,1113","-13.9","0,1117","-0.6","0,0620","-2.8","0,0511","-5.0","0,0423","-7.2","0,0420","-11.7","0,0413","    4885.0","0","    4885.0","0","","","","","      4.93","0","     10.15","0","     -0.29","0"
"USC00205816","1915","46.35155","-85.51629","241.4","NEWBERRY LUCE CO ROAD COMMISSION, MI US","     49.2","","      49.2","0","","","","","","","","","","","        11","0","       162","0","        87","0","        74","0","         0","0","","","","","  -27.2","0,0128, ","","","","","","","   29.4","0,0905,+","-1.1","0,0827","-2.2","0,0928","-5.0","0,1024","-7.8","0,1116","-9.4","0,1122","-2.8","0,0527","-2.8","0,0527","-6.7","0,0413","-6.7","0,0413","-8.9","0,0403","    4752.8","8","    4752.8","0","","","","","      5.07","0","     10.04","0","      0.10","0"
"USC00205816","1916","46.35155","-85.51629","241.4","NEWBERRY LUCE CO ROAD COMMISSION, MI US","    179.9","","     179.9","0","","","","","","","","","","","        35","0","       175","0","        95","0","        78","0","         9","0","","","","","  -25.6","0,0221, ","","","","","","","   36.7","0,0820, ","0.0","0,0929","-3.3","0,1017","-5.6","0,1112","-6.7","0,1113","-10.0","0,1114","-2.2","0,0519","-2.2","0,0519","-7.2","0,0409","-7.2","0,0409","-8.9","0,0407","    5082.6","6","    5082.6","0","","","","","      4.35","0","      9.33","0","     -0.63","0"
