"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0012K02S","2011","39.35","-112.33","2392.7","OAK CREEK, UT US","    123.2","","     123.2","T","        97","T","        97","T","         2","T","      197","","         3","T","       179","T","        41","T","        83","T","         0","T","  -21.3","T,0202, ","  1219"," ,T,0327, ","  30.5"," ,T,1005,+","   28.8","T,0724, ","-0.1","T,1005","-3.5","T,1006","-5.9","T,1101","-8.0","T,1102","-11.4","T,1203","-0.2","T,0603","-2.2","T,0502","-7.3","T,0430","-7.3","T,0430","-9.9","T,0227","","","","","    658.9"," ,T","      6.68","T","     11.35","T","      1.99","T"
"USS0012K02S","2012","39.35","-112.33","2392.7","OAK CREEK, UT US","","","","","        74","T","        74","T","         3","T","      164","","","","","","","","","","","","","","  1118"," ,T,0301, ","  48.3"," ,T,0121, ","","","","","","","","","","","","","","","","","","","","","","","    3874.1","1","    3874.1"," ","    634.5"," ,T","","","","","",""
"USS0012K02S","2013","39.35","-112.33","2392.7","OAK CREEK, UT US","    199.4","","     199.4","T","        69","T","        69","T","         1","T","      150","","         5","T","       134","T","        40","T","        83","T","         0","T","  -21.5","T,0114, ","  1041"," ,T,0209, ","  25.4"," ,T,0901, ","   30.3","T,0701,+","-0.3","T,0926","-3.1","T,1004","-4.9","T,1103","-11.2","T,1203","-11.2","T,1203","-1.9","T,0502","-3.0","T,0501","-5.1","T,0423","-7.3","T,0418","-11.3","T,0323","","","","","    453.7"," ,T","      7.68","T","     11.63","T","      3.72","T"
"USS0012K02S","2014","39.35","-112.33","2392.7","OAK CREEK, UT US","    148.3","","     148.3","T","        68","T","        68","T","         3","T","      164","","         0","T","       122","T","        26","T","        91","T","         0","T","  -16.7","T,1231, ","   686"," ,T,0204, ","  58.4"," ,T,0927, ","   29.7","T,0723, ","-1.2","T,1027","-3.4","T,1102","-5.6","T,1112","-12.0","T,1115","-12.0","T,1115","-1.1","T,0513","-2.2","T,0429","-5.1","T,0403","-9.0","T,0318","-9.0","T,0318","    3824.3","3","    3824.3","T","    535.0"," ,T","      8.71","T","     12.59","T","      4.82","T"
"USS0012K02S","2015","39.35","-112.33","2392.7","OAK CREEK, UT US","    190.6","","     190.6","T","        75","T","        75","T","         1","T","      147","","         0","T","        98","T","        33","T","        97","T","         0","T","  -14.2","T,1226, ","   813"," ,T,1215,+","  25.4"," ,T,1214, ","   30.1","T,0629, ","-1.7","T,1103","-3.6","T,1104","-5.6","T,1105","-6.8","T,1111","-9.8","T,1127","-0.7","T,0509","-5.8","T,0416","-5.8","T,0416","-8.0","T,0415","-9.7","T,0304","    3484.9","9","    3484.9","T","    504.4"," ,T","      9.11","T","     13.00","T","      5.23","T"
"USS0012K02S","2016","39.35","-112.33","2392.7","OAK CREEK, UT US","    220.8","","     220.8","T","        66","T","        66","T","         1","T","      146","","         0","T","       113","T","        33","T","        89","T","         0","T","  -15.8","T,1217, ","   914"," ,T,0201, ","  35.6"," ,T,0515, ","   30.2","T,0728, ","-0.2","T,1003","-4.3","T,1116","-7.2","T,1117","-7.2","T,1117","-8.9","T,1202","-0.1","T,0510","-2.3","T,0416","-5.1","T,0330","-6.9","T,0223","-12.7","T,0203","    3699.3","3","    3699.3","T","    441.2"," ,T","      9.04","T","     13.06","T","      5.02","T"
"USS0012K02S","2017","39.35","-112.33","2392.7","OAK CREEK, UT US","    269.4","","     269.4","T","        64","T","        64","T","         2","T","      115","","         1","T","       107","T","        25","T","       100","T","         0","T","  -18.2","T,0106, ","   914"," ,T,0123, ","  38.1"," ,T,0210, ","   30.5","T,0716, ","-0.2","T,0923","-2.2","T,1009","-4.6","T,1107","-7.2","T,1117","-9.0","T,1204","-0.5","T,0519","-4.5","T,0518","-4.5","T,0518","-9.8","T,0306","-9.8","T,0306","    3604.4","4","    3604.4","T","    502.2"," ,T","      9.17","T","     13.18","T","      5.16","T"
"USS0012K02S","2018","39.35","-112.33","2392.7","OAK CREEK, UT US","    282.8","","     282.8","T","        63","T","        63","T","         1","T","      135","","         0","T","       122","T","        29","T","       110","T","         0","T","  -15.1","T,0220, ","   635"," ,T,1202,+","  33.0"," ,T,1129, ","   30.2","T,0724, ","0.0","T,1010","-4.7","T,1014","-4.7","T,1014","-8.1","T,1111","-10.0","T,1202","-1.3","T,0430","-2.7","T,0418","-4.9","T,0417","-8.4","T,0403","-9.2","T,0305","    3590.4","4","    3590.4","T","    436.1"," ,T","      8.93","T","     12.99","T","      4.87","T"
"USS0012K02S","2019","39.35","-112.33","2392.7","OAK CREEK, UT US","    278.7","","     278.7","T","        91","T","        91","T","         6","T","      166","","         0","T","       133","T","        42","T","        87","T","         0","T","  -17.0","T,0101, ","  1448"," ,T,0313, ","  38.1"," ,T,0523, ","   30.0","T,0806, ","-5.2","T,1009","-5.2","T,1009","-5.2","T,1009","-7.0","T,1010","-9.8","T,1028","-0.6","T,0502","-5.3","T,0501","-5.3","T,0501","-7.5","T,0315","-13.1","T,0223","    3977.2","2","    3977.2","T","    794.0"," ,T","      7.97","T","     11.93","T","      4.02","T"
"USS0012K02S","2020","39.35","-112.33","2392.7","OAK CREEK, UT US","    399.8","","     399.8","T","        45","T","        45","T","         0","T","      130","","         0","T","       132","T","        37","T","       112","T","         0","T","  -14.9","T,0204, ","   660"," ,T,0203, ","  17.8"," ,T,1108, ","   31.7","T,0712, ","-1.2","T,0908","-11.7","T,1025","-11.7","T,1025","-11.7","T,1025","-11.7","T,1025","0.0","T,0523","-3.5","T,0417","-5.7","T,0414","-6.7","T,0226","-9.5","T,0225","    3794.5","5","    3794.5","T","    263.6"," ,T","      9.58","T","     13.78","T","      5.37","T"
"USS0012K02S","2021","39.35","-112.33","2392.7","OAK CREEK, UT US","    270.9","","     270.9","T","        67","T","        67","T","         6","T","      133","","         0","T","       122","T","        30","T","       102","T","         0","T","  -12.2","T,1231, ","   889"," ,T,0217,+","  66.0"," ,T,0818, ","   31.0","T,0709, ","-1.2","T,1011","-3.0","T,1012","-4.9","T,1013","-8.7","T,1209","-11.3","T,1210","-1.5","T,0427","-3.1","T,0417","-4.4","T,0406","-9.6","T,0330","-9.6","T,0330","    3663.1","1","    3663.1","T","    664.6"," ,T","      8.93","T","     12.94","T","      4.92","T"
"USS0012K02S","2022","39.35","-112.33","2392.7","OAK CREEK, UT US","    263.2","","     263.2","T","        71","T","        71","T","         3","T","      164","","         0","T","       142","T","        31","T","        96","T","         0","T","  -15.9","T,0101, ","   635"," ,T,0310,+","  53.3"," ,T,1231, ","   30.2","T,0906,+","-1.9","T,1022","-6.0","T,1023","-6.0","T,1023","-6.7","T,1024","-9.2","T,1111","-0.6","T,0521","-2.6","T,0520","-4.7","T,0509","-9.4","T,0413","-9.4","T,0413","    3723.6","6","    3723.6","T","    504.5"," ,T","      8.46","T","     12.69","T","      4.23","T"
"USS0012K02S","2023","39.35","-112.33","2392.7","OAK CREEK, UT US","    155.3","","     155.3","T","        92","T","        92","T","         4","T","      175","","         0","T","       131","T","        43","T","        66","T","         0","T","  -17.0","T,0130, ","  1905"," ,T,0404,+","  33.0"," ,T,0109, ","   31.6","T,0717, ","-2.3","T,1026","-2.3","T,1026","-5.8","T,1028","-6.7","T,1125","-9.0","T,1126","-3.1","T,0425","-3.1","T,0425","-4.8","T,0420","-7.7","T,0406","-9.6","T,0405","    4066.2","2","    4066.2","T","    746.0"," ,T","      8.03","T","     11.94","T","      4.12","T"
