"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES"
"US1INJH0025","2020","39.612865447998","-86.1028442382813","245.1","GREENWOOD 0.6 ESE, IN US","   1167.2"," ,N"
"US1INJH0025","2022","39.612865447998","-86.1028442382813","245.1","GREENWOOD 0.6 ESE, IN US","   1006.5"," ,N"
"US1INJH0025","2023","39.612865447998","-86.1028442382813","245.1","GREENWOOD 0.6 ESE, IN US","    888.8"," ,N"
