"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0008M06S","1998","37.79","-108.02","3048.0","EL DIENTE PEAK, CO US","","","      0.0","","       0.0","T","       140","T","       140","T","         2","T","","","        42","T","       258","T","        42","T","        40","T","         0","T","  -25.4","T,0228, ","","","  33.0"," ,T,1108, ","   26.4","T,0715,+","-0.2","T,0917","-2.3","T,0922","-7.6","T,1004","-7.6","T,1004","-10.5","T,1005","-1.7","T,0619","-4.6","T,0618","-4.6","T,0618","-10.4","T,0515","-10.4","T,0515","    6004.0","0","    6004.0","T","    843.9"," ,T","      2.20","T","     10.64","T","     -6.23","T"
"USS0008M06S","1999","37.79","-108.02","3048.0","EL DIENTE PEAK, CO US","","","      0.0","","       0.0","T","       120","T","       120","T","         2","T","","","        26","T","       270","T","        29","T","        16","T","         0","T","  -23.6","T,1215, ","","","  27.9"," ,T,0429, ","   24.9","T,0705, ","-0.8","T,0812","-2.4","T,0920","-5.0","T,0921","-6.7","T,0928","-11.1","T,1017","0.0","T,0618","-2.2","T,0611","-5.0","T,0606","-8.7","T,0517","-10.9","T,0507","    5652.4","4","    5652.4","T","    760.6"," ,T","      2.74","T","     11.10","T","     -5.63","T"
"USS0008M06S","2000","37.79","-108.02","3048.0","EL DIENTE PEAK, CO US","","","      0.0","","       0.0","T","       139","T","       139","T","         2","T","","","        28","T","       250","T","        35","T","        60","T","         0","T","  -24.3","T,1118, ","","","  27.9"," ,T,0307,+","   26.4","T,0728, ","-0.2","T,0902","-5.1","T,0923","-5.1","T,0923","-9.0","T,0924","-9.0","T,0924","-0.5","T,0621","-2.2","T,0610","-7.1","T,0518","-7.1","T,0518","-9.5","T,0420","    5430.1","1","    5430.1","T","    749.8"," ,T","      3.06","T","     11.72","T","     -5.61","T"
"USS0008M06S","2001","37.79","-108.02","3048.0","EL DIENTE PEAK, CO US","","","      0.0","","       0.0","T","       140","T","       140","T","         1","T","      179","","        41","T","       253","T","        31","T","        54","T","         0","T","  -24.4","T,0131, ","  1422"," ,T,0311, ","  35.6"," ,T,1122, ","   25.2","T,0703, ","-1.0","T,0822","-4.9","T,0908","-4.9","T,0908","-9.7","T,1010","-9.7","T,1010","-0.5","T,0616","-4.8","T,0615","-4.8","T,0615","-9.1","T,0614","-9.1","T,0614","    5606.0","0","    5606.0","T","    665.4"," ,T","      3.10","T","     12.13","T","     -5.94","T"
"USS0008M06S","2002","37.79","-108.02","3048.0","EL DIENTE PEAK, CO US","","","      0.0","","       0.0","T","       102","T","       102","T","         1","T","","","        46","T","       262","T","        33","T","        67","T","         0","T","  -26.8","T,0301, ","","","  33.0"," ,T,1109, ","   29.2","T,0731, ","-0.9","T,0829","-3.9","T,0919","-4.5","T,1001","-9.4","T,1003","-9.4","T,1003","-0.9","T,0613","-3.3","T,0605","-5.7","T,0525","-7.8","T,0523","-9.3","T,0522","    5568.8","8","    5568.8","T","    595.2"," ,T","      2.76","T","     12.16","T","     -6.64","T"
"USS0008M06S","2003","37.79","-108.02","3048.0","EL DIENTE PEAK, CO US","","","      0.0","","       0.0","T","       126","T","       126","T","         3","T","      180","","        35","T","       266","T","        24","T","        67","T","         0","T","  -26.3","T,0207, ","  1448"," ,T,0305, ","  35.6"," ,T,0909, ","   29.3","T,0714, ","0.0","T,0831","-3.5","T,0910","-4.9","T,0911","-7.5","T,1014","-11.3","T,1025","-1.2","T,0627","-2.9","T,0626","-4.8","T,0512","-9.9","T,0511","-9.9","T,0511","    5630.3","3","    5630.3","T","    729.5"," ,T","      3.18","T","     12.41","T","     -6.05","T"
"USS0008M06S","2004","37.79","-108.02","3048.0","EL DIENTE PEAK, CO US","","","","","","","       119","T","       119","T","         2","T","      195","","","","","","","","","","","","","","  1524"," ,T,0227, ","  30.5"," ,T,1121,+","","","","","","","","","","","","","","","","","","","","","","","","","","","    748.1"," ,T","","","","","",""
"USS0008M06S","2005","37.79","-108.02","3048.0","EL DIENTE PEAK, CO US","","","      0.0","","       0.0","T","       156","T","       156","T","         2","T","      180","","        31","T","       250","T","        26","T","        33","T","         0","T","  -26.3","T,1207, ","  1753"," ,T,0330, ","  33.0"," ,T,0104, ","   28.7","T,0520, ","-1.7","T,0914","-2.5","T,0915","-5.5","T,1012","-7.9","T,1031","-12.1","T,1115","-0.9","T,0629","-3.0","T,0614","-4.4","T,0518","-6.9","T,0513","-10.7","T,0512","","","","","    846.1"," ,T","      3.18","T","     11.51","T","     -5.16","T"
"USS0008M06S","2006","37.79","-108.02","3048.0","EL DIENTE PEAK, CO US","","","      0.0","","       0.0","T","       145","T","       145","T","         5","T","      182","","        13","T","       234","T","        43","T","        19","T","         0","T","  -25.0","T,1129, ","  1473"," ,T,0406, ","  50.8"," ,T,0812, ","   23.1","T,0724,+","-5.3","T,0916","-5.3","T,0916","-5.3","T,0916","-6.9","T,0917","-9.6","T,0923","-1.0","T,0616","-5.1","T,0529","-5.1","T,0529","-7.9","T,0425","-11.8","T,0419","    5478.5","5","    5478.5","T","    911.9"," ,T","      2.85","T","      9.80","T","     -4.10","T"
"USS0008M06S","2007","37.79","-108.02","3048.0","EL DIENTE PEAK, CO US","","","      0.0","","       0.0","T","       143","T","       143","T","         5","T","","","        28","T","       232","T","        47","T","        34","T","         0","T","  -27.2","T,1227, ","","","  43.2"," ,T,0923, ","   25.2","T,0703, ","-0.6","T,0918","-2.7","T,0924","-5.6","T,0930","-8.4","T,1006","-9.4","T,1007","-3.3","T,0608","-3.3","T,0608","-4.7","T,0607","-7.2","T,0524","-9.5","T,0507","    5615.6","6","    5615.6","T","    848.2"," ,T","      3.23","T","     10.33","T","     -3.86","T"
