"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SWE00138170","1945","57.64","16.57","25.0","TOVEHULT, SW","","","","","       130","E","        72","E","         5","E","","","","","","","","","","","","","  50.0"," ,E,0818, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    655.5"," ,E","","","","","",""
"SWE00138170","1946","57.64","16.57","25.0","TOVEHULT, SW","","","","","       123","E","        64","E","         4","E","","","","","","","","","","","","","  48.7"," ,E,0716, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    646.2"," ,E","","","","","",""
"SWE00138170","1947","57.64","16.57","25.0","TOVEHULT, SW","","","","","       123","E","        57","E","         1","E","","","","","","","","","","","","","  55.5"," ,E,0721, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    557.8"," ,E","","","","","",""
"SWE00138170","1948","57.64","16.57","25.0","TOVEHULT, SW","","","","","       106","E","        50","E","         2","E","","","","","","","","","","","","","  32.2"," ,E,0802, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    536.5"," ,E","","","","","",""
"SWE00138170","1949","57.64","16.57","25.0","TOVEHULT, SW","","","","","       109","E","        66","E","         0","E","","","","","","","","","","","","","  22.7"," ,E,1210, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    525.6"," ,E","","","","","",""
"SWE00138170","1950","57.64","16.57","25.0","TOVEHULT, SW","","","","","       139","E","        77","E","         2","E","","","","","","","","","","","","","  33.9"," ,E,1028, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    688.7"," ,E","","","","","",""
"SWE00138170","1951","57.64","16.57","25.0","TOVEHULT, SW","","","","","       133","E","        67","E","         2","E","","","","","","","","","","","","","  40.0"," ,E,0809, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    592.2"," ,E","","","","","",""
"SWE00138170","1952","57.64","16.57","25.0","TOVEHULT, SW","","","","","       153","E","        81","E","         6","E","","","","","","","","","","","","","  37.3"," ,E,0817, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    763.4"," ,E","","","","","",""
"SWE00138170","1953","57.64","16.57","25.0","TOVEHULT, SW","","","","","       103","E","        60","E","         3","E","","","","","","","","","","","","","  31.0"," ,E,0719, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    564.5"," ,E","","","","","",""
"SWE00138170","1954","57.64","16.57","25.0","TOVEHULT, SW","","","","","       121","E","        67","E","         0","E","","","","","","","","","","","","","  23.2"," ,E,0305, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    542.2"," ,E","","","","","",""
"SWE00138170","1955","57.64","16.57","25.0","TOVEHULT, SW","","","","","        87","E","        43","E","         1","E","","","","","","","","","","","","","  54.3"," ,E,1221, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    459.7"," ,E","","","","","",""
"SWE00138170","1956","57.64","16.57","25.0","TOVEHULT, SW","","","","","        84","E","        48","E","         2","E","","","","","","","","","","","","","  47.8"," ,E,0824, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    457.1"," ,E","","","","","",""
"SWE00138170","1957","57.64","16.57","25.0","TOVEHULT, SW","","","","","       114","E","        59","E","         1","E","","","","","","","","","","","","","  27.0"," ,E,0728, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    537.5"," ,E","","","","","",""
"SWE00138170","1958","57.64","16.57","25.0","TOVEHULT, SW","","","","","       124","E","        80","E","         2","E","","","","","","","","","","","","","  36.1"," ,E,0717, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    726.3"," ,E","","","","","",""
"SWE00138170","1959","57.64","16.57","25.0","TOVEHULT, SW","","","","","        76","E","        36","E","         2","E","","","","","","","","","","","","","  48.9"," ,E,0410, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    403.4"," ,E","","","","","",""
"SWE00138170","1960","57.64","16.57","25.0","TOVEHULT, SW","","","","","       135","E","        84","E","         3","E","","","","","","","","","","","","","  59.2"," ,E,0906, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    882.1"," ,E","","","","","",""
"SWE00138170","1961","57.64","16.57","25.0","TOVEHULT, SW","     13.1","","      13.1","E","       105","E","        70","E","         2","E","         1","E","       123","E","        23","E","        37","E","         0","E","  -18.1","E,0126, ","  31.0"," ,E,0907, ","   30.3","E,0702, ","-0.2","E,1105","-3.7","E,1106","-6.2","E,1128","-7.2","E,1129","-9.8","E,1215","-1.5","E,0502","-2.2","E,0421","-5.9","E,0403","-7.9","E,0322","-12.2","E,0206","","","","","    566.1"," ,E","      7.85","E","     11.88","E","      3.83","E"
"SWE00138170","1962","57.64","16.57","25.0","TOVEHULT, SW","      2.3","","       2.3","E","       117","E","        64","E","         0","E","         2","E","       135","E","        35","E","        22","E","         0","E","  -20.7","E,1223, ","  24.0"," ,E,0807, ","   27.7","E,0615, ","-2.2","E,1013","-2.2","E,1013","-6.9","E,1117","-6.9","E,1117","-10.7","E,1201","0.0","E,0505","-2.7","E,0408","-9.1","E,0330","-9.1","E,0330","-9.1","E,0330","    4224.5","5","    4224.5","E","    476.6"," ,E","      5.99","E","     10.03","E","      1.94","E"
"SWE00138170","1963","57.64","16.57","25.0","TOVEHULT, SW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    4853.7","7","    4853.7"," ","","","","","","","",""
"SWE00138170","1964","57.64","16.57","25.0","TOVEHULT, SW","     26.8","","      26.8","E","       111","E","        50","E","         1","E","         3","E","       148","E","        39","E","        57","E","         0","E","  -22.6","E,0219, ","  32.2"," ,E,1013, ","   30.5","E,0827, ","-0.4","E,1001","-3.4","E,1027","-6.1","E,1106","-6.9","E,1225","-10.0","E,1226","-2.6","E,0426","-2.6","E,0426","-5.7","E,0408","-8.1","E,0407","-9.3","E,0403","","","","","    384.6"," ,E","      6.57","E","     11.01","E","      2.13","E"
"SWE00138170","1965","57.64","16.57","25.0","TOVEHULT, SW","      3.2","","       3.2","E","       131","E","        69","E","         2","E","         5","E","       148","E","        48","E","        35","E","         0","E","  -21.7","E,0302, ","  29.0"," ,E,0510, ","   24.7","E,0806, ","-2.6","E,1012","-2.6","E,1012","-4.4","E,1111","-8.3","E,1116","-11.9","E,1117","-0.6","E,0523","-3.2","E,0503","-7.6","E,0327","-7.6","E,0327","-12.7","E,0326","    4358.2","2","    4358.2","E","    587.6"," ,E","      5.78","E","      9.90","E","      1.65","E"
"SWE00138170","1966","57.64","16.57","25.0","TOVEHULT, SW","     23.5","","      23.5","E","       150","E","        65","E","         3","E","        15","E","       149","E","        68","E","        59","E","         0","E","  -34.3","E,0209, ","  47.1"," ,E,0628, ","   29.3","E,0723, ","-0.4","E,0926","-3.0","E,0929","-5.3","E,1030","-7.6","E,1216","-9.2","E,1226","-2.1","E,0428","-4.2","E,0423","-10.0","E,0419","-10.0","E,0419","-10.0","E,0419","    4785.7","7","    4785.7","E","    618.5"," ,E","      5.75","E","      9.84","E","      1.65","E"
"SWE00138170","1967","57.64","16.57","25.0","TOVEHULT, SW","     20.5","","      20.5","E","       156","E","        65","E","         2","E","         2","E","       119","E","        39","E","        54","E","         0","E","  -18.9","E,0128, ","  56.3"," ,E,0922, ","   27.2","E,0710, ","-0.8","E,1018","-2.6","E,1114","-6.7","E,1207","-6.7","E,1207","-11.4","E,1209","-0.8","E,0503","-3.0","E,0426","-4.5","E,0402","-7.0","E,0325","-12.4","E,0130","    4208.2","2","    4208.2","E","    605.1"," ,E","      7.11","E","     11.09","E","      3.13","E"
"SWE00138170","1968","57.64","16.57","25.0","TOVEHULT, SW","     34.9","","      34.9","E","       133","E","        69","E","         1","E","         8","E","       127","E","        43","E","        60","E","         0","E","  -22.5","E,0113, ","  36.7"," ,E,0711, ","   30.9","E,0618, ","-1.4","E,1006","-2.4","E,1020","-4.9","E,1105","-7.0","E,1115","-9.0","E,1211","-0.4","E,0525","-2.5","E,0411","-4.9","E,0409","-10.0","E,0315","-10.0","E,0315","    4214.3","3","    4214.3","E","    589.7"," ,E","      6.66","E","     10.87","E","      2.46","E"
"SWE00138170","1969","57.64","16.57","25.0","TOVEHULT, SW","     53.0","","      53.0","E","       118","E","        59","E","         2","E","         5","E","       144","E","        78","E","        74","E","         0","E","  -23.4","E,0214, ","  35.8"," ,E,0519, ","   30.7","E,0724, ","0.0","E,0921","-4.0","E,1106","-6.7","E,1124","-6.7","E,1124","-10.7","E,1126","-0.5","E,0430","-3.0","E,0419","-4.8","E,0408","-8.0","E,0329","-13.3","E,0313","    4474.3","3","    4474.3","E","    506.3"," ,E","      6.07","E","     10.28","E","      1.86","E"
