"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0017C05S","1997","46.12","-117.85","1685.5","TOUCHET, WA US","","","     31.3","","      31.3","T","       140","T","       140","T","        17","T","","","         1","T","       178","T","        60","T","        50","T","         0","T","  -18.9","T,0113, ","","","  68.6"," ,T,1030, ","   28.8","T,0806,+","-0.7","T,1005","-2.2","T,1007","-4.7","T,1012","-7.8","T,1202","-9.1","T,1218","-2.0","T,0507","-4.3","T,0502","-5.4","T,0501","-10.5","T,0411","-10.5","T,0411","    5012.1","1","    5012.1","T","   1558.5"," ,T","      4.92","T","      9.17","T","      0.67","T"
"USS0017C05S","1998","46.12","-117.85","1685.5","TOUCHET, WA US","","","    137.1","","     137.1","T","       166","T","       166","T","        11","T","","","         4","T","       191","T","        67","T","        65","T","         1","T","  -26.1","T,1220, ","","","  61.0"," ,T,1227, ","   32.2","T,0804, ","-0.2","T,1002","-2.5","T,1015","-4.4","T,1029","-8.3","T,1203","-9.7","T,1205","-0.9","T,0616","-3.0","T,0515","-4.6","T,0417","-6.9","T,0412","-10.5","T,0307","    4788.1","1","    4788.1","T","   1486.6"," ,T","      5.42","T","      9.56","T","      1.28","T"
"USS0017C05S","1999","46.12","-117.85","1685.5","TOUCHET, WA US","","","     62.5","","      62.5","T","       152","T","       152","T","        15","T","","","         0","T","       193","T","        73","T","        56","T","         0","T","  -12.1","T,0124, ","","","  88.9"," ,T,1125, ","   30.7","T,0728, ","-0.1","T,0830","-2.7","T,0928","-5.3","T,1015","-8.1","T,1203","","","-0.3","T,0703","-2.4","T,0606","-5.0","T,0510","-6.7","T,0509","-8.9","T,0410","    4994.8","8","    4994.8","T","   1601.2"," ,T","      4.98","T","      9.36","T","      0.60","T"
"USS0017C05S","2000","46.12","-117.85","1685.5","TOUCHET, WA US","","","     56.1","","      56.1","T","       135","T","       135","T","        12","T","","","         0","T","       194","T","        70","T","        46","T","         0","T","  -13.8","T,1211, ","","","  61.0"," ,T,0930, ","   30.5","T,0730, ","-0.9","T,0921","-4.1","T,0922","-5.2","T,1022","-8.4","T,1109","-11.2","T,1110","-0.2","T,0611","-3.6","T,0512","-4.8","T,0511","-7.7","T,0424","-8.9","T,0217","    4684.6","6","    4684.6","T","   1331.6"," ,T","      4.90","T","      9.23","T","      0.56","T"
"USS0017C05S","2001","46.12","-117.85","1685.5","TOUCHET, WA US","","","     66.7","","      66.7","T","       115","T","       115","T","        11","T","","","         0","T","       180","T","        52","T","        65","T","         0","T","  -15.5","T,0207, ","","","  50.8"," ,T,1122,+","   30.4","T,0816, ","-0.2","T,1008","-3.3","T,1023","-5.1","T,1124","-7.6","T,1128","-9.0","T,1217","-1.7","T,0604","-2.2","T,0603","-5.0","T,0502","-6.8","T,0414","-8.9","T,0303","    4975.4","4","    4975.4","T","   1256.2"," ,T","      5.72","T","     10.04","T","      1.40","T"
"USS0017C05S","2002","46.12","-117.85","1685.5","TOUCHET, WA US","","","     61.0","","      61.0","T","       127","T","       127","T","         8","T","      218","","         0","T","       167","T","        43","T","        53","T","         1","T","  -14.6","T,0225, ","  2769"," ,T,0324,+","  33.0"," ,T,0324, ","   32.6","T,0713, ","-0.5","T,0930","-3.1","T,1011","-8.4","T,1029","-8.4","T,1029","-12.9","T,1030","-0.2","T,0609","-2.9","T,0608","-6.0","T,0507","-9.6","T,0318","-9.6","T,0318","    4522.8","8","    4522.8","T","   1182.0"," ,T","      5.85","T","     10.11","T","      1.60","T"
"USS0017C05S","2003","46.12","-117.85","1685.5","TOUCHET, WA US","","","    117.8","","     117.8","T","       137","T","       137","T","        13","T","      203","","         0","T","       159","T","        45","T","        77","T","         0","T","  -13.8","T,0224, ","  2108"," ,T,0309, ","  68.6"," ,T,0307, ","   31.3","T,0722, ","-0.7","T,1010","-3.2","T,1029","-8.8","T,1030","-8.8","T,1030","-10.8","T,1031","-1.3","T,0519","-3.6","T,0518","-5.4","T,0406","-12.1","T,0225","-12.1","T,0225","    4315.7","7","    4315.7","T","   1490.1"," ,T","      6.76","T","     11.00","T","      2.52","T"
"USS0017C05S","2004","46.12","-117.85","1685.5","TOUCHET, WA US","","","     95.1","","      95.1","T","       133","T","       133","T","        10","T","      220","","         2","T","       142","T","        30","T","        52","T","         0","T","  -22.1","T,0105, ","  2464"," ,T,0305, ","  50.8"," ,T,0124, ","   30.6","T,0813, ","-0.1","T,1018","-4.3","T,1031","-4.4","T,1101","-8.2","T,1128","","","-0.4","T,0529","-3.0","T,0428","-5.2","T,0331","-7.0","T,0302","-13.3","T,0106","    4339.8","8","    4339.8","T","   1348.3"," ,T","      6.95","T","     11.10","T","      2.79","T"
"USS0017C05S","2005","46.12","-117.85","1685.5","TOUCHET, WA US","","","     75.6","","      75.6","T","       131","T","       131","T","        11","T","      187","","         0","T","       116","T","        33","T","        56","T","         0","T","  -12.1","T,1207,+","  1118"," ,T,1231, ","  53.3"," ,T,1031,+","   30.8","T,0721, ","-0.1","T,1026","-2.4","T,1105","-6.6","T,1114","-6.7","T,1126","-11.5","T,1206","-0.2","T,0419","-2.5","T,0415","-4.7","T,0413","-7.1","T,0216","-9.2","T,0115","    4035.9","9","    4035.9","T","   1133.2"," ,T","      7.44","T","     11.65","T","      3.22","T"
"USS0017C05S","2006","46.12","-117.85","1685.5","TOUCHET, WA US","","","    127.3","","     127.3","T","       148","T","       148","T","        22","T","      196","","         0","T","       149","T","        32","T","        74","T","         0","T","  -17.5","T,0217, ","  2413"," ,T,0325,+","  88.9"," ,T,1107, ","   31.8","T,0821, ","-0.6","T,1025","-4.7","T,1029","-4.7","T,1029","-8.6","T,1030","-16.4","T,1128","-1.8","T,0509","-3.3","T,0502","-4.8","T,0416","-7.0","T,0312","-13.8","T,0219","    4182.9","9","    4182.9","T","   1669.2"," ,T","      7.14","T","     11.43","T","      2.85","T"
"USS0017C05S","2007","46.12","-117.85","1685.5","TOUCHET, WA US","","","     84.6","","      84.6","T","       128","T","       128","T","         9","T","      187","","         0","T","       134","T","        36","T","        69","T","         0","T","  -17.6","T,0112, ","  1905"," ,T,0301,+","  73.7"," ,T,1203, ","   32.1","T,0705, ","-0.4","T,0928","-3.3","T,1102","-4.4","T,1114","-7.6","T,1120","-9.9","T,1208","-0.4","T,0528","-2.4","T,0504","-6.2","T,0403","-9.5","T,0302","-9.5","T,0302","    4075.4","4","    4075.4","T","   1284.3"," ,T","      7.18","T","     11.68","T","      2.67","T"
"USS0017C05S","2008","46.12","-117.85","1685.5","TOUCHET, WA US","","","     73.7","","      73.7","T","       172","T","       172","T","        13","T","      201","","         1","T","       176","T","        38","T","        51","T","         0","T","  -17.9","T,1220, ","  3023"," ,T,0408, ","  68.6"," ,T,1112, ","   31.8","T,0817, ","0.0","T,0922","-3.0","T,1009","-4.4","T,1011","-7.3","T,1204","-12.2","T,1214","-2.6","T,0610","-2.6","T,0610","-5.9","T,0421","-6.7","T,0420","-8.9","T,0129","    4475.4","4","    4475.4","T","   1628.7"," ,T","      6.03","T","     10.51","T","      1.55","T"
