"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0005K06S","1998","39.92","-105.76","2950.5","ARROW, CO US","      5.4","","       5.4","T","         3","T","       202","T","        80","T","        32","T","         0","T","  -21.7","T,1222, ","   27.6","T,0720, ","-3.6","T,1004","-3.6","T,1004","-4.9","T,1005","-7.5","T,1104","-11.6","T,1109","-0.8","T,0618","-2.9","T,0515","-5.4","T,0427","-7.8","T,0417","-9.1","T,0401","","","","","      3.74","T","      8.73","T","     -1.26","T"
"USS0005K06S","2000","39.92","-105.76","2950.5","ARROW, CO US","      0.2","","       0.2","T","         4","T","       200","T","        79","T","        62","T","         0","T","  -19.8","T,1118, ","   26.0","T,0810,+","-1.8","T,0923","-5.5","T,0924","-5.5","T,0924","-6.9","T,1101","-9.4","T,1103","-0.5","T,0519","-6.7","T,0513","-6.7","T,0513","-6.7","T,0513","-11.0","T,0403","    5074.5","5","    5074.5","T","      3.96","T","      9.39","T","     -1.47","T"
"USS0005K06S","2001","39.92","-105.76","2950.5","ARROW, CO US","      1.6","","       1.6","T","         2","T","       196","T","        75","T","        44","T","         0","T","  -18.7","T,0209, ","   26.5","T,0701, ","-1.9","T,0907","-3.4","T,0908","-5.6","T,1010","-7.0","T,1023","-8.9","T,1125","-2.7","T,0614","-2.7","T,0614","-8.4","T,0521","-8.4","T,0521","-10.2","T,0316","    5307.6","6","    5307.6","T","      4.06","T","      9.29","T","     -1.17","T"
"USS0005K06S","2004","39.92","-105.76","2950.5","ARROW, CO US","      1.2","","       1.2","T","        13","T","       206","T","        69","T","        28","T","         0","T","  -24.4","T,0212, ","   26.3","T,0714, ","0.0","T,0905","-2.5","T,0922","-5.5","T,1022","-6.8","T,1030","-12.7","T,1101","-1.0","T,0622","-4.7","T,0530","-4.7","T,0530","-9.5","T,0412","-9.5","T,0412","    5161.0","0","    5161.0","T","      3.37","T","      8.83","T","     -2.10","T"
"USS0005K06S","2005","39.92","-105.76","2950.5","ARROW, CO US","      9.0","","       9.0","T","         6","T","       207","T","        65","T","        40","T","         0","T","  -25.0","T,1208, ","   28.0","T,0721, ","-0.2","T,0914","-2.2","T,1004","-5.1","T,1030","-7.2","T,1031","-10.2","T,1114","-1.2","T,0613","-2.9","T,0513","-5.2","T,0512","-7.7","T,0430","-11.7","T,0401","    5459.3","3","    5459.3","T","      3.88","T","      9.39","T","     -1.62","T"
"USS0005K06S","2006","39.92","-105.76","2950.5","ARROW, CO US","      7.9","","       7.9","T","         5","T","       207","T","        76","T","        52","T","         0","T","  -22.7","T,1130, ","   27.9","T,0716, ","-3.6","T,0916","-3.6","T,0916","-5.5","T,0917","-7.5","T,1018","-12.6","T,1112","-1.8","T,0529","-3.4","T,0511","-4.5","T,0510","-9.2","T,0419","-9.2","T,0419","    5206.1","1","    5206.1","T","      3.73","T","      9.05","T","     -1.59","T"
"USS0005K06S","2007","39.92","-105.76","2950.5","ARROW, CO US","","","","","        12","T","       201","T","        75","T","        52","T","         0","T","  -23.0","T,1228, ","   27.2","T,0702, ","-1.7","T,0924","-2.6","T,0925","-4.9","T,0930","-7.0","T,1018","-9.9","T,1021","-2.3","T,0608","-2.3","T,0608","-7.8","T,0419","-7.8","T,0419","-10.6","T,0412","    5306.8","8","    5306.8","T","      4.08","T","      9.41","T","     -1.24","T"
"USS0005K06S","2008","39.92","-105.76","2950.5","ARROW, CO US","      1.9","","       1.9","T","        15","T","       208","T","        94","T","        45","T","         0","T","  -23.5","T,0117, ","   25.7","T,0801, ","-0.9","T,1006","-5.9","T,1012","-5.9","T,1012","-6.9","T,1013","-10.1","T,1022","-0.2","T,0613","-2.4","T,0513","-4.5","T,0511","-8.3","T,0503","-9.7","T,0417","","","","","      2.99","T","      8.26","T","     -2.29","T"
"USS0005K06S","2009","39.92","-105.76","2950.5","ARROW, CO US","      0.0","","       0.0","T","         9","T","       192","T","        78","T","        25","T","         0","T","  -22.9","T,1209, ","   24.5","T,0822, ","-2.5","T,0921","-2.5","T,0921","-5.5","T,0930","-6.8","T,1001","-11.4","T,1026","-2.3","T,0509","-2.3","T,0509","-5.9","T,0427","-7.1","T,0407","-12.0","T,0406","    5252.4","4","    5252.4","T","      3.40","T","      8.33","T","     -1.52","T"
"USS0005K06S","2010","39.92","-105.76","2950.5","ARROW, CO US","      0.3","","       0.3","T","         4","T","       197","T","        83","T","        38","T","         0","T","  -25.6","T,1231, ","   25.3","T,0726, ","-0.4","T,1008","-6.9","T,1025","-6.9","T,1025","-6.9","T,1025","-9.3","T,1027","-0.4","T,0530","-2.7","T,0525","-4.5","T,0513","-7.7","T,0507","-9.1","T,0407","    5503.5","5","    5503.5","T","      3.90","T","      8.98","T","     -1.18","T"
"USS0005K06S","2011","39.92","-105.76","2950.5","ARROW, CO US","      0.5","","       0.5","T","        13","T","       213","T","        76","T","        42","T","         0","T","  -32.9","T,0202, ","   24.4","T,0725, ","-3.9","T,1006","-3.9","T,1006","-6.3","T,1007","-7.1","T,1026","-10.3","T,1027","-2.3","T,0531","-2.3","T,0531","-4.7","T,0503","-8.0","T,0502","-9.2","T,0501","    5422.9","9","    5422.9","T","      3.16","T","      8.19","T","     -1.87","T"
"USS0005K06S","2012","39.92","-105.76","2950.5","ARROW, CO US","      6.9","","       6.9","T","         6","T","       180","T","        60","T","        44","T","         0","T","  -20.4","T,1220, ","   26.5","T,0623, ","-4.2","T,1006","-4.2","T,1006","-5.9","T,1007","-8.4","T,1025","-9.6","T,1026","-0.3","T,0610","-2.3","T,0429","-6.9","T,0428","-6.9","T,0428","-8.9","T,0407","    4975.2","2","    4975.2","T","      5.06","T","     10.30","T","     -0.18","T"
"USS0005K06S","2013","39.92","-105.76","2950.5","ARROW, CO US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    5301.7","7","    5301.7","T","","","","","",""
