"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0021B21S","2004","47.36","-121.57","890.0","MOUNT GARDNER, WA US","","","     66.5","","      66.5","T","       195","T","       195","T","        26","T","","","         0","T","       111","T","        11","T","        68","T","         1","T","  -16.0","T,0105,+","","","  88.9"," ,T,0824, ","   34.5","T,0724, ","0.0","T,1025","-2.4","T,1119","-4.6","T,1128","","","","","-0.1","T,0427","-2.7","T,0401","-6.2","T,0108","-11.9","T,0107","-11.9","T,0107","    3999.5","5","    3999.5","T","   2350.4"," ,T","      7.68","T","     11.63","T","      3.72","T"
"USS0021B21S","2005","47.36","-121.57","890.0","MOUNT GARDNER, WA US","","","     18.8","","      18.8","T","       154","T","       154","T","        23","T","","","         0","T","        93","T","        24","T","        40","T","         0","T","  -10.3","T,0115, ","",""," 121.9"," ,T,0117, ","   29.5","T,0804, ","-1.1","T,1114","-4.2","T,1127","-5.1","T,1204","-7.0","T,1208","","","-0.2","T,0417","-2.7","T,0413","-6.9","T,0215","-6.9","T,0215","-10.3","T,0115","    3913.0","0","    3913.0","T","   2231.7"," ,T","      7.28","T","     10.86","T","      3.70","T"
"USS0021B21S","2006","47.36","-121.57","890.0","MOUNT GARDNER, WA US","","","     58.2","","      58.2","T","       152","T","       152","T","        44","T","      183","","         0","T","        90","T","        10","T","        54","T","         2","T","  -11.2","T,0217, ","  1778"," ,T,0309, "," 165.1"," ,T,1106, ","   34.7","T,0721, ","-0.6","T,1029","-3.5","T,1030","-4.7","T,1127","-9.9","T,1128","-9.9","T,1128","-0.7","T,0509","-3.5","T,0319","-4.8","T,0225","-9.4","T,0218","-9.4","T,0218","    4060.4","4","    4060.4","T","   2887.1"," ,T","      7.44","T","     10.97","T","      3.90","T"
"USS0021B21S","2007","47.36","-121.57","890.0","MOUNT GARDNER, WA US","","","     21.5","","      21.5","T","       196","T","       196","T","        25","T","      161","","         0","T","        92","T","        15","T","        36","T","         1","T","  -10.3","T,0112, ","  1575"," ,T,0302,+","  83.8"," ,T,1203, ","   33.0","T,0711, ","-0.2","T,1025","-2.4","T,1122","-4.4","T,1130","","","","","-0.2","T,0420","-2.8","T,0403","-5.2","T,0302","-7.6","T,0116","-9.2","T,0113","    4069.6","6","    4069.6","T","   2482.6"," ,T","      6.89","T","     10.24","T","      3.55","T"
"USS0021B21S","2008","47.36","-121.57","890.0","MOUNT GARDNER, WA US","","","     54.9","","      54.9","T","       198","T","       198","T","        33","T","      189","","         0","T","       101","T","        27","T","        41","T","         1","T","  -13.3","T,1220, ","  2794"," ,T,0208, "," 152.4"," ,T,1112, ","   33.7","T,0629, ","-0.5","T,1126","-6.5","T,1213","-6.5","T,1213","-12.3","T,1214","-12.3","T,1214","-0.4","T,0430","-2.3","T,0420","-6.2","T,0125","-6.8","T,0124","-9.7","T,0121","    4426.2","2","    4426.2","T","   2843.6"," ,T","      6.61","T","     10.00","T","      3.23","T"
"USS0021B21S","2009","47.36","-121.57","890.0","MOUNT GARDNER, WA US","","","     62.5","","      62.5","T","       174","T","       174","T","        34","T","      202","","         0","T","       107","T","        18","T","        48","T","         0","T","  -12.0","T,1208, ","  2362"," ,T,0403, "," 129.5"," ,T,0107, ","   31.8","T,0730, ","-0.4","T,1011","-2.9","T,1204","-9.3","T,1206","-9.3","T,1206","-9.3","T,1206","-1.5","T,0424","-2.9","T,0404","-6.6","T,0312","-8.0","T,0311","-9.2","T,0310","    4155.7","7","    4155.7","T","   2594.8"," ,T","      6.91","T","     10.25","T","      3.56","T"
"USS0021B21S","2010","47.36","-121.57","890.0","MOUNT GARDNER, WA US","","","     26.4","","      26.4","T","       181","T","       181","T","        35","T","      142","","         0","T","        58","T","        14","T","        23","T","         0","T","  -14.5","T,1123, ","   965"," ,T,1229, ","  63.5"," ,T,1212, ","   29.2","T,0708, ","-0.4","T,1118","-4.3","T,1121","-9.1","T,1122","-9.1","T,1122","-9.1","T,1122","-0.3","T,0504","-2.6","T,0410","-4.8","T,0309","","","","","    4212.7","7","    4212.7","T","   2572.1"," ,T","      6.76","T","      9.51","T","      4.02","T"
"USS0021B21S","2011","47.36","-121.57","890.0","MOUNT GARDNER, WA US","       0.2","T","     17.3","","      17.3","T","       209","T","       209","T","        43","T","      207","","         0","T","       106","T","        17","T","        24","T","         0","T","  -12.7","T,0225, ","  1473"," ,T,0406,+","  94.0"," ,T,0330, ","   29.8","T,0911, ","-0.1","T,1101","-2.7","T,1118","-4.5","T,1119","","","","","-0.1","T,0428","-4.4","T,0304","-4.4","T,0304","-11.6","T,0226","-11.6","T,0226","    4512.8","8","    4512.8","T","   3143.9"," ,T","      5.99","T","      8.70","T","      3.30","T"
"USS0021B21S","2012","47.36","-121.57","890.0","MOUNT GARDNER, WA US","       0.2","T","     31.8","","      31.8","T","       184","T","       184","T","        36","T","      172","","         0","T","        87","T","        15","T","        35","T","         0","T","   -6.1","T,0227, ","  1981"," ,T,0320, "," 111.8"," ,T,0221, ","   29.8","T,0805, ","-1.8","T,1109","-3.2","T,1110","-5.4","T,1231","","","","","0.0","T,0510","-2.2","T,0323","-5.1","T,0319","","","","","    4372.6","6","    4372.6","T","   2948.2"," ,T","      6.79","T","      9.65","T","      3.93","T"
"USS0021B21S","2013","47.36","-121.57","890.0","MOUNT GARDNER, WA US","       0.2","T","     20.4","","      20.4","T","       164","T","       164","T","        37","T","      161","","         0","T","        80","T","        18","T","        36","T","         0","T","  -13.0","T,1207, ","  1499"," ,T,0322, ","  66.0"," ,T,0928, ","   28.5","T,0630, ","-1.0","T,1104","-4.5","T,1120","-4.5","T,1120","-7.6","T,1204","-9.5","T,1205","-0.7","T,0501","-2.3","T,0324","-4.5","T,0323","-7.7","T,0113","","","    4051.4","4","    4051.4","T","   2538.7"," ,T","      7.30","T","     10.18","T","      4.42","T"
"USS0021B21S","2014","47.36","-121.57","890.0","MOUNT GARDNER, WA US","       0.3","T","     32.1","","      32.1","T","       191","T","       191","T","        43","T","      130","","         0","T","        58","T","        16","T","        39","T","         0","T","  -13.7","T,0206, ","  1016"," ,T,0302,+","  94.0"," ,T,1125, ","   31.1","T,0811, ","-4.9","T,1111","-4.9","T,1111","-4.9","T,1111","-8.5","T,1129","","","-0.2","T,0323","-3.2","T,0321","-7.1","T,0302","-7.1","T,0302","-11.1","T,0207","    4025.3","3","    4025.3","T","   3105.4"," ,T","      7.68","T","     10.60","T","      4.76","T"
"USS0021B21S","2015","47.36","-121.57","890.0","MOUNT GARDNER, WA US","       0.3","T","     60.0","","      60.0","T","       159","T","       159","T","        36","T","       54","","         0","T","        47","T","         8","T","        48","T","         0","T","   -7.0","T,1231, ","  1626"," ,T,1224, "," 129.5"," ,T,1117,+","   29.0","T,0731, ","-0.3","T,1115","-2.4","T,1125","-5.1","T,1229","-7.0","T,1231","","","-0.7","T,0415","-3.5","T,0102","-5.4","T,0101","","","","","    3445.7","7","    3445.7","T","   2749.2"," ,T","      8.72","T","     11.81","T","      5.62","T"
"USS0021B21S","2016","47.36","-121.57","890.0","MOUNT GARDNER, WA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    3791.8","8","    3791.8","T","","","","","","","",""
"USS0021B21S","2017","47.36","-121.57","890.0","MOUNT GARDNER, WA US","","","     86.6","","      86.6","T","       175","T","       175","T","        44","T","      185","","         0","T","        88","T","        29","T","        52","T","         0","T","  -11.2","T,0104, ","  1981"," ,T,0308, ","  94.0"," ,T,1021, ","   30.9","T,0803, ","-0.8","T,1103","-2.5","T,1105","-6.9","T,1223","-6.9","T,1223","","","-0.5","T,0411","-2.4","T,0307","-4.5","T,0225","-6.7","T,0201","-9.2","T,0112","","","","","   2826.1"," ,T","      7.03","T","     10.09","T","      3.97","T"
"USS0021B21S","2018","47.36","-121.57","890.0","MOUNT GARDNER, WA US","","","     57.9","","      57.9","T","       178","T","       178","T","        36","T","      155","","         0","T","        69","T","        10","T","        47","T","         0","T","   -9.6","T,0221, ","  1270"," ,T,0304, ","  71.1"," ,T,0111, ","   29.8","T,0808, ","-0.8","T,1108","-2.8","T,1204","","","","","","","-1.1","T,0403","-2.6","T,0325","-8.5","T,0223","-8.5","T,0223","-9.6","T,0221","    3982.5","5","    3982.5","T","   2757.6"," ,T","      7.60","T","     10.50","T","      4.71","T"
"USS0021B21S","2019","47.36","-121.57","890.0","MOUNT GARDNER, WA US","","","     14.8","","      14.8","T","       152","T","       152","T","        25","T","      134","","         0","T","        77","T","        22","T","        26","T","         0","T","   -8.9","T,0210,+","  1194"," ,T,0212, ","  91.4"," ,T,1220, ","   27.6","T,0612, ","0.0","T,1009","-3.7","T,1029","-4.4","T,1128","","","","","-0.7","T,0428","-3.8","T,0310","-4.6","T,0309","-8.2","T,0304","-8.9","T,0210","    3950.9","9","    3950.9","T","   2130.3"," ,T","      7.12","T","     10.01","T","      4.22","T"
"USS0021B21S","2020","47.36","-121.57","890.0","MOUNT GARDNER, WA US","","","     43.5","","      43.5","T","       178","T","       178","T","        48","T","      170","","         0","T","        65","T","         9","T","        40","T","         0","T","   -8.0","T,0115, ","   965"," ,T,0116, ","  88.9"," ,T,0106, ","   32.1","T,0816, ","-0.8","T,1024","-2.2","T,1025","","","","","","","-2.3","T,0404","-2.3","T,0404","-4.7","T,0315","-8.0","T,0115","","","    4146.6","6","    4146.6","T","   3197.0"," ,T","      7.47","T","     10.33","T","      4.60","T"
"USS0021B21S","2021","47.36","-121.57","890.0","MOUNT GARDNER, WA US","","","     85.2","","      85.2","T","       173","T","       173","T","        34","T","      145","","         0","T","        80","T","        22","T","        47","T","         4","T","  -11.9","T,1227, ","  1295"," ,T,0227, ","  88.9"," ,T,0112, ","   36.1","T,0629, ","-1.0","T,1116","-2.4","T,1215","-9.2","T,1226","-9.2","T,1226","-9.2","T,1226","-0.4","T,0412","-3.5","T,0411","-6.6","T,0215","-7.7","T,0214","-10.5","T,0213","    3929.0","0","    3929.0","T","   2703.6"," ,T","      7.38","T","     10.36","T","      4.41","T"
"USS0021B21S","2022","47.36","-121.57","890.0","MOUNT GARDNER, WA US","","","    116.7","","     116.7","T","       155","T","       155","T","        38","T","      183","","         0","T","        84","T","        18","T","        59","T","         0","T","  -16.7","T,1222, ","  1473"," ,T,0106, "," 147.3"," ,T,1104, ","   31.7","T,0726, ","-0.3","T,1106","-2.4","T,1109","-5.3","T,1128","-6.7","T,1219","-14.0","T,1221","-0.6","T,0417","-3.7","T,0310","-4.7","T,0226","-11.1","T,0223","-11.1","T,0223","    4183.1","1","    4183.1","T","   2668.0"," ,T","      7.59","T","     10.62","T","      4.56","T"
"USS0021B21S","2023","47.36","-121.57","890.0","MOUNT GARDNER, WA US","","","     50.2","","      50.2","T","       161","T","       161","T","        21","T","      156","","         0","T","        78","T","         7","T","        50","T","         0","T","  -11.4","T,0223, ","  1118"," ,T,0315, ","  71.1"," ,T,1205, ","   31.5","T,0814, ","-0.3","T,1026","-2.3","T,1130","","","","","","","-0.7","T,0420","-2.7","T,0327","-5.2","T,0301","-10.7","T,0224","-10.7","T,0224","    3898.5","5","    3898.5","T","   1870.5"," ,T","      7.64","T","     10.55","T","      4.72","T"
