"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES"
"USC00052221","2023","39.75797","-104.87397","1615.1","DENVER CENTRAL PARK 1 SSE, CO US","         1"," ","         3"," "
"USC00052221","2024","39.75797","-104.87397","1615.1","DENVER CENTRAL PARK 1 SSE, CO US","","","         2"," "
