"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXKN0076","2014","30.119694","-98.786992","587.3","FREDERICKSBURG 11.6 SSE, TX US","        84","7","        39","7","         8","7","        0","","         0","7","","","","","     0"," ,7,1231,+","     0"," ,7,1231,+","  65.5"," ,7,1105, ","    636.5"," ,7","        0"," ,7"
"US1TXKN0076","2015","30.119694","-98.786992","587.3","FREDERICKSBURG 11.6 SSE, TX US","        95","7","        55","7","        13","7","","","","","         4"," ","         1"," ","","","",""," 138.7"," ,7,1024, ","   1091.7"," ,7","",""
"US1TXKN0076","2016","30.119694","-98.786992","587.3","FREDERICKSBURG 11.6 SSE, TX US","","","","","","","        0","","         0","7","        23"," ","         2"," ","     0"," ,7,1231,+","     0"," ,7,1231,+","","","","","        0"," ,7"
"US1TXKN0076","2017","30.119694","-98.786992","587.3","FREDERICKSBURG 11.6 SSE, TX US","        80","7","        48","7","         7","7","        0","","         1","7","        35"," ","","","     0"," ,7,1231,+","    51"," ,7,1208, ","  62.2"," ,7,0625, ","    706.7"," ,7","       51"," ,7"
"US1TXKN0076","2018","30.119694","-98.786992","587.3","FREDERICKSBURG 11.6 SSE, TX US","","","","","","","","","","","        21"," ","","","","","","","","","","","",""
