"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00211773","1998","47.87861","-92.93278","399.9","COOK 12 W, MN US","     72.7","","      72.7","0","","","","","","","        23","0","        31","0","       206","0","        74","0","       124","0","         1","0","        11"," ","  -36.7","0,1230, ","   127"," ,0,1111, ","","","   32.2","0,0519, ","-1.1","0,0908","-3.9","0,0922","-8.9","0,1002","-8.9","0,1002","-8.9","0,1002","0.0","0,0611","-4.4","0,0510","-4.4","0,0510","-7.8","0,0427","-11.1","0,0325","","","     1244"," ,0","      4.98","0","     12.05","0","     -2.09","0"
"USC00211773","2023","47.87861","-92.93278","399.9","COOK 12 W, MN US","    142.3","","     142.3","H","       153","H","        61","H","         2","H","","","        39","H","       187","H","        96","H","       109","H","         5","H","","","  -35.0","H,0204, ","","","  42.4"," ,H,0924, ","   33.3","H,0903, ","0.0","H,1009","-3.3","H,1028","-6.7","H,1029","-6.7","H,1029","-10.0","H,1030","-0.6","H,0505","-2.2","H,0504","-7.2","H,0427","-7.2","H,0427","-9.4","H,0425","    593.3"," ,H","","","      4.63","H","     10.30","H","     -1.04","H"
