"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00487033","2022","44.50219","-109.95964","2026.9","PAHASKA RIVER ARC, WY US","     26.3","","      26.3","H","        21","H","       218","H","        76","H","        96","H","         4","H","  -32.8","H,0224, ","   32.8","H,0908, ","-1.1","H,0910","-3.3","H,1016","-7.2","H,1026","-7.2","H,1026","-8.9","H,1028","0.0","H,0617","-2.2","H,0524","-5.0","H,0522","-8.3","H,0511","-10.6","H,0417","","","","","      4.12","H","     11.36","H","     -3.12","H"
"USC00487033","2023","44.50219","-109.95964","2026.9","PAHASKA RIVER ARC, WY US","     15.5","","      15.5","H","        12","H","       197","H","        66","H","        91","H","         1","H","  -30.0","H,0130, ","   32.2","H,0724, ","0.0","H,0924","-8.3","H,1026","-8.3","H,1026","-8.3","H,1026","-11.1","H,1027","-1.1","H,0623","-6.1","H,0429","-6.1","H,0429","-12.2","H,0423","-12.2","H,0423","    5035.8","8","    5035.8","H","      4.18","H","     11.28","H","     -2.92","H"
