"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"USC00411441","2022","34.41253","-101.0684","807.1","CAPROCK CANYON STATE PARK, TX US","        62","H","        27","H","         6","H","         9","H","       228","H","       121","H","  44.5"," ,H,0602, ","   42.8","H,0720, ","    436.7"," ,H","     24.37","H"
"USC00411441","2023","34.41253","-101.0684","807.1","CAPROCK CANYON STATE PARK, TX US","        69","H","        38","H","         4","H","         3","H","       235","H","       104","H","  38.4"," ,H,0514, ","   42.8","H,0813,+","    474.1"," ,H","     24.82","H"
